"","tag","mnem","gx","gy"
"1",1,"AGROIN",477.86,477.27
"2",2,"MESUNA",421.81,398.24
"3",3,"HUMBLA",479.91,69.42
"4",4,"HUMBLA",205.3,346.94
"5",5,"AGROIN",392.93,357.53
"6",6,"MASTTE",323.66,79.5
"7",7,"AGROHO",227.25,19.72
"8",8,"UNIDEN",92.6,166.17
"9",9,"SHORTR",12,371.82
"10",10,"HUMBLA",293.67,122.35
"11",11,"PALAPE",420.08,334.8
"12",12,"MESUNA",177.94,352.64
"13",13,"MYRIDA",45.18,237.21
"14",14,"MESUNA",439.04,241.92
"15",15,"PSYCNI",67.04,463.36
"16",16,"SHORWO",22.89,486.67
"17",17,"HUMBLA",440.69,345.09
"18",18,"AGROHO",35.55,90.77
"19",19,"NARGMA",249.28,15.22
"20",20,"MYRIDA",486.14,362.14
"21",21,"MASTTE",171.82,388.63
"22",22,"CRYPWI",247.08,480.58
"23",23,"PSYCNI",53.04,163.1
"24",24,"HUMBLA",19.49,84.66
"25",25,"MESUNA",287.41,35.89
"26",26,"NOTHBE",319.44,137.8
"27",27,"AGROIN",123.24,339.36
"28",28,"HUMBLA",117.35,177.52
"29",29,"UNIDEN",376.4,154.33
"30",30,"SEMEWA",17.5,434.3
"31",31,"HUMBLA",76.38,105.54
"32",32,"SHORDI",452.68,445.65
"33",33,"ALLOZE",135.58,144.39
"34",34,"SYZYSP",471.64,63.17
"35",35,"GARCMO",423.8,6.06
"36",36,"MALLFU",248,209.8
"37",37,"MEMERO",437.7,316.92
"38",38,"GLOCAC",101.19,334.14
"39",39,"CALOBR",241.81,286.64
"40",40,"AGROIN",434.91,399.73
"41",41,"HUMBLA",373.39,197.2
"42",42,"GARCHE",133.75,173.63
"43",43,"MESUFE",357.05,83.52
"44",44,"MESUNA",448.04,131.7
"45",45,"MESUFE",444.86,242.33
"46",46,"MEMERO",480.09,46.7
"47",47,"XYLOCH",262.5,338.06
"48",48,"APAMSI",177.18,199.44
"49",49,"MESUNA",427.83,312.6
"50",50,"GAERRO",103.52,241.18
"51",51,"HUMBLA",383.31,19.58
"52",52,"WALSPI",326.71,489.8
"53",53,"MESUFE",266.67,87.6
"54",54,"MYRIDA",34.95,77.26
"55",55,"CULLCE",353.72,300.61
"56",56,"SHORWO",13.86,486.01
"57",57,"PAVEIN",179.51,147.69
"58",58,"SHORAF",360.41,290.49
"59",59,"PALATH",372.73,110
"60",60,"CULLCE",189.65,74.57
"61",61,"SYZYSY",123.69,471.54
"62",62,"HUMBLA",198.77,316.36
"63",63,"HOPEJU",214.05,0.5
"64",64,"MEMEC_",481.71,310.05
"65",65,"AGROIN",273.49,43.9
"66",66,"HUMBLA",180.93,382.72
"67",67,"SHORTR",125.48,279.03
"68",68,"IXORJU",316.93,50.97
"69",69,"HUMBLA",385.9,111.64
"70",70,"UROPEL",135.58,252.84
"71",71,"SEMESU",147.94,438.85
"72",72,"HUMBLA",473.17,424.15
"73",73,"AGROIN",356.89,122.95
"74",74,"SYZYMA",98.47,6.95
"75",75,"HYDNOC",209.32,314.55
"76",76,"CULLRO",286.82,179.8
"77",77,"HUMBLA",337.91,379.76
"78",78,"GOMPSE",42.41,272.67
"79",79,"HUMBLA",403.58,93.59
"80",80,"GARCHE",113.66,470.59
"81",81,"AGROHO",34.63,70.49
"82",82,"HUMBLA",442.55,306.7
"83",83,"SHORAF",427.19,53.82
"84",84,"GAERVA",105,425
"85",85,"SEMEAC",91.32,156.16
"86",86,"HOPEJU",410.78,50
"87",87,"AGROHO",373.83,36.89
"88",88,"SCHUCA",318.15,481.73
"89",89,"HUMBLA",166.4,327.35
"90",90,"CULLCE",336.77,316.86
"91",91,"GONIHO",219.28,39.18
"92",92,"ANISCI",112.6,148.44
"93",93,"UROPEL",82.48,290.77
"94",94,"HUMBLA",150.61,373.33
"95",95,"MESUFE",458.46,237.92
"96",96,"CALOTH",380.54,16.27
"97",97,"GARCHE",126.89,494.5
"98",98,"SHORST",341.09,315.77
"99",99,"DIOSAL",227.33,125.78
"100",100,"SYZYMA",398.02,253.4
"101",101,"AGROHO",190.17,30.41
"102",102,"PSYCNI",310.55,388.04
"103",103,"AGROIN",437.48,290.76
"104",104,"UNIDEN",4.25,246.94
"105",105,"HUMBLA",366.09,122.64
"106",106,"MESUNA",485.95,475.51
"107",107,"AGROIN",491.03,158.05
"108",108,"GARCHE",104.27,169.2
"109",109,"AGROHO",133.28,71
"110",110,"TRICER",29.32,212.55
"111",111,"AGROHO",135.85,40.4
"112",112,"SEMEGA",394.05,266.7
"113",113,"IXORJU",469.89,99.73
"114",114,"MEMEAR",0.45,58.94
"115",115,"AGROIN",463.75,437.03
"116",116,"DIOSQU",313.49,81.79
"117",117,"SYZYNE",253.13,494.59
"118",118,"SYZYMA",393.73,381.72
"119",119,"SHORDI",428.71,23.46
"120",120,"SYZYNE",196.27,478.66
"121",121,"HUMBLA",119.3,366.47
"122",122,"HUMBLA",95.8,64.46
"123",123,"SYZYNE",331.89,439.85
"124",124,"SHORME",140.56,323.01
"125",125,"GARCHE",234.75,291.86
"126",126,"HUMBLA",121.96,226.22
"127",127,"MESUNA",361,120.94
"128",128,"SHORWO",491.74,411.79
"129",129,"AGROHO",75.98,71.67
"130",130,"PSYCDU",235.1,409.18
"131",131,"PSYCDU",228.8,480.75
"132",132,"SHORDI",403.32,292.26
"133",133,"AGROHO",82.54,83.38
"134",134,"AGROIN",123,360.66
"135",135,"UNIDEN",450.64,395.82
"136",136,"CLEIPA",444.4,224.2
"137",137,"PSYCNI",321.06,434.81
