,mnem,counts
2,HUMBLA,1142
0,AGROIN,814
1,MESUNA,725
5,UNIDEN,473
4,AGROHO,375
23,GARCHE,363
15,SHORDI,332
9,PSYCNI,317
24,MESUFE,257
10,SHORWO,247
31,SHORAF,215
37,UROPEL,205
29,CULLCE,187
60,SHORCR,184
45,SCHUCA,175
61,PALACA,168
56,SHORME,158
43,GAERVA,139
8,MYRIDA,134
6,SHORTR,128
41,CULLRO,122
57,PSYCDU,115
32,PALATH,114
14,SEMEWA,111
25,XYLOCH,109
7,PALAPE,103
27,GAERRO,92
47,ANISCI,77
48,CALOTH,77
53,MEMEAR,76
21,GLOCAC,71
90,DIOSAC,67
55,SYZYNE,67
3,MASTTE,65
82,LITSLO,59
20,MEMERO,59
52,SEMEGA,57
79,MANGZE,51
97,LEEAIN,49
118,SHORCN,49
11,NARGMA,47
16,ALLOZE,46
40,HYDNOC,46
83,BHESCE,45
49,SHORST,43
12,CRYPWI,42
34,HOPEJU,41
80,CHAECO,39
38,SEMESU,34
42,GOMPSE,34
64,CINNCA,33
59,SYZYWI,33
103,PSEUCH,33
17,SYZYSP,33
94,DIOSHI,33
81,GLENUN,32
36,IXORJU,32
26,APAMSI,31
13,NOTHBE,29
65,CHAECA,27
22,CALOBR,27
18,GARCMO,26
105,EUPHLO,26
86,DILLRE,25
119,LITSIT,25
51,TRICER,22
39,SYZYMA,22
101,PODATH,21
70,STRONA,21
122,MALLRH,21
30,PAVEIN,18
134,TIMOJA,18
44,SEMEAC,18
109,ACTIAL,18
77,SYMPCO,18
108,CINNVE,17
72,PRISTE,16
99,ANTIPY,16
76,SYMPCU,16
104,GYRIWA,15
95,ELAESU,15
75,SYZYLI,15
71,MADHFU,15
96,CINNDU,15
66,GOMPTE,14
142,NEOLCA,14
69,PUTRRO,13
131,SYMPHI,13
116,PSYCPL,12
124,MEMEPR,12
54,DIOSQU,12
19,MALLFU,12
93,EURYAC,12
67,ISONLA,11
126,MEMEVA,11
46,GONIHO,11
85,LASIOB,10
91,SYZYAQ,10
33,SYZYSY,10
63,AXINZE,10
73,ERYTOB,9
84,URANAP,9
125,DYSOPE,9
68,GARCSP,8
120,GLYCPE,8
121,BYRSEL,8
87,CARACA,8
89,POMETO,8
115,DIPTHI,7
144,GLOCZE,7
100,VITEAL,7
112,ELAEGL,7
50,DIOSAL,7
62,HOPEDI,6
127,MEMECL,6
58,CLEIPA,6
98,AGLAAP,6
107,NOTHFO,6
28,WALSPI,6
102,MELAMA,6
129,EUGERI,5
139,LIJNGA,5
156,ARDIGA,5
138,MEMESY,5
133,PALALA,5
110,DYSOBI,5
117,DIOSIN,5
114,CHIOAL,5
106,MEMED_,5
78,CALOTR,5
111,LITSGA,5
123,SYZYAM,5
157,ABARBI,4
148,MEMEB_,4
155,PSYCGL,4
141,MEMERY,4
74,DESMZE,4
136,SEMENI,4
113,SYZYCY,4
130,CAMPZE,4
149,STEMCA,3
162,DIOSRA,3
35,MEMEC_,3
164,PALAHI,3
145,PRUNWA,3
146,CINNRI,3
153,HORSIR,2
151,EUGEIN,2
166,DIOSSY,2
161,ARTONO,2
152,CARABR,2
92,FICUHI,2
140,OSMEGA,2
88,SYZYOP,2
150,BRIDMO,1
132,LASIOL,1
168,HOMACE,1
167,MACAPE,1
165,CHAEFE,1
128,GLOCNE,1
163,CLERIN,1
135,PERSMA,1
147,GARCTE,1
160,STRYMI,1
159,KOKOZE,1
158,DIOSCH,1
137,GLOCB_,1
143,CASEZE,1
154,SCOLAC,1
169,ADENBI,1
